author,content,timestamp
gordon_freeman,MSFT/,2020-09-13 17:48:22 +0100
smartertrader,shop dropped 5,2020-09-13 17:48:22 +0100
Bogeyman79,good thing to see $cmg is still a virus stock,2020-09-13 17:48:22 +0100
smartertrader,nflx slowed,2020-09-13 17:48:22 +0100
smartertrader,zm zm get 400,2020-09-13 17:48:22 +0100
nb369,What is over mdna mdna I guess MRNA but what ode and omid Sam wrote,2020-09-13 17:48:22 +0100
smartertrader,nvda rip thgru,2020-09-13 17:48:22 +0100
Spphotonic,spx didnt get through 3400,2020-09-13 17:48:22 +0100
smartertrader,wow 45 pts down still 2 on spx,2020-09-13 17:48:22 +0100
ehden03,2 of 3 are there..just need TSLA,2020-09-13 17:48:22 +0100
smartertrader,nvda want to try,2020-09-13 17:48:22 +0100
smartertrader,zm here corm 420,2020-09-13 17:48:22 +0100
smartertrader,tes at 400 coming,2020-09-13 17:48:22 +0100
smartertrader,tsla all about 372,2020-09-13 17:48:22 +0100
QuietRiot,AAPL ripping,2020-09-13 17:48:22 +0100
smartertrader,aapl close,2020-09-13 17:48:22 +0100
ark321,any trade on NVDA?,2020-09-13 17:48:22 +0100
smartertrader,we have 540 from last week,2020-09-13 17:48:22 +0100
DG11,Thinking about adding nkla here,2020-09-13 17:48:22 +0100
smartertrader,roku close,2020-09-13 17:48:22 +0100
PhillyBob,a nice 20 pt aapl rip would be awesome,2020-09-13 17:48:22 +0100
gordon_freeman,what price are we looking at for roku?,2020-09-13 17:48:22 +0100
smartertrader,amzn hueg ripper,2020-09-13 17:50:32 +0100
smartertrader,googl was 1690 now 1540 does it ril 1590,2020-09-13 17:50:32 +0100
smartertrader,1600 are 3 very low,2020-09-13 17:50:32 +0100
Spphotonic,does spx roll over,2020-09-13 17:50:32 +0100
Spphotonic,lol,2020-09-13 17:50:32 +0100
blacktechmogul,market looks to be a bit extended,2020-09-13 17:50:32 +0100
blacktechmogul,may see a pullback,2020-09-13 17:50:32 +0100
blacktechmogul,may see a pullbaxxxxxxxxxck,2020-09-13 17:52:42 +0100
